college_name,institute_code,year,counselling_system,round,seat_allocation_type,official_branch_name,normalized_branch,category,category_rank_type,quota,gender_pool,opening_rank,closing_rank,percentile,score,rank_type,source_id,source_page
"Sardar Vallabhbhai National Institute of Technology, Surat",229,2023,JoSAA,Round 1,Regular seat allocation,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,OBC-NCL (PwD),OBC-NCL (PwD) category rank,Other State,Gender-Neutral,796,796,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Sardar Vallabhbhai National Institute of Technology, Surat",229,2023,JoSAA,Round 1,Regular seat allocation,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,OPEN,CRL,Other State,Female-only (including Supernumerary),38848,41748,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Sardar Vallabhbhai National Institute of Technology, Surat",229,2023,JoSAA,Round 1,Regular seat allocation,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,OPEN,CRL,Other State,Gender-Neutral,27554,35987,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Sardar Vallabhbhai National Institute of Technology, Surat",229,2023,JoSAA,Round 1,Regular seat allocation,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,OPEN (PwD),OPEN-PwD rank,Other State,Female-only (including Supernumerary),1995,1995,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Sardar Vallabhbhai National Institute of Technology, Surat",229,2023,JoSAA,Round 1,Regular seat allocation,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,OPEN (PwD),OPEN-PwD rank,Other State,Gender-Neutral,1659,1659,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Sardar Vallabhbhai National Institute of Technology, Surat",229,2023,JoSAA,Round 1,Regular seat allocation,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,SC,SC category rank,Other State,Female-only (including Supernumerary),6959,7550,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Sardar Vallabhbhai National Institute of Technology, Surat",229,2023,JoSAA,Round 1,Regular seat allocation,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,SC,SC category rank,Other State,Gender-Neutral,4443,5426,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Sardar Vallabhbhai National Institute of Technology, Surat",229,2023,JoSAA,Round 1,Regular seat allocation,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,ST,ST category rank,Other State,Female-only (including Supernumerary),2154,2154,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Sardar Vallabhbhai National Institute of Technology, Surat",229,2023,JoSAA,Round 1,Regular seat allocation,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,ST,ST category rank,Other State,Gender-Neutral,991,1323,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Sardar Vallabhbhai National Institute of Technology, Surat",229,2023,JoSAA,Round 1,Regular seat allocation,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,EWS,EWS category rank,Home State,Female-only (including Supernumerary),1874,1874,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Sardar Vallabhbhai National Institute of Technology, Surat",229,2023,JoSAA,Round 1,Regular seat allocation,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,EWS,EWS category rank,Home State,Gender-Neutral,847,1086,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Sardar Vallabhbhai National Institute of Technology, Surat",229,2023,JoSAA,Round 1,Regular seat allocation,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,OBC-NCL,OBC-NCL category rank,Home State,Female-only (including Supernumerary),4673,8584,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Sardar Vallabhbhai National Institute of Technology, Surat",229,2023,JoSAA,Round 1,Regular seat allocation,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,OBC-NCL,OBC-NCL category rank,Home State,Gender-Neutral,1560,3533,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
